DEPTH;MEASURED;DELTA;OBSERVED;TRANSIT;DELTA2;ACOUSTIC
;;15,7;;;0,0017;9301
2203,6;1825,2;;0,2343;0,2832;;
;;15,6;;;0,0017;9174
2219,2;1840,9;;0,2359;0,2849;;
;;15,6;;;0,0017;9075
2234,9;1856,6;;0,2376;0,2867;;
;;15,6;;;0,0017;9020
2250,5;1872,3;;0,2393;0,2884;;
;;15,6;;;0,0017;8996
2266,1;1888;;0,241;0,2901;;
;;15,6;;;0,0017;8967
2281,8;1903,7;;0,2427;0,2919;;
;;15,6;;;0,0018;8913
2297,4;1919,4;;0,2444;0,2936;;
;;15,6;;;0,0018;8834
2313;1935,1;;0,2461;0,2954;;
;;15,6;;;0,0018;8749
2328,6;1950,8;;0,2478;0,2972;;
;;15,6;;;0,0018;8705
2344,2;1966,5;;0,2496;0,299;;
;;15,6;;;0,0018;8737
2359,8;1982,2;;0,2513;0,3008;;
;;15,6;;;0,0018;8818
2375,4;1997,9;;0,253;0,3025;;
;;15,6;;;0,0017;8923
2391;2013,6;;0,2547;0,3043;;
;;15,6;;;0,0017;9062
2406,5;2029,3;;0,2564;0,306;;
;;15,6;;;0,0017;9217
2422,1;2045;;0,2581;0,3077;;
;;15,6;;;0,0017;9343
2437,7;2060,7;;0,2597;0,3094;;
;;15,5;;;0,0017;9398
2453,2;2076,4;;0,2613;0,311;;
;;15,5;;;0,0017;9384
2468,7;2092,1;;0,2629;0,3127;;
;;15,5;;;0,0017;9344
2484,2;2107,8;;0,2645;0,3143;;
;;15,5;;;0,0017;9265
2499,7;2123,5;;0,2661;0,316;;
;;15,5;;;0,0017;9174
2515,2;2139,2;;0,2678;0,3177;;
;;15,5;;;0,0017;9102
2530,7;2154,9;;0,2694;0,3194;;
;;15,4;;;0,0017;9055
2546,1;2170,6;;0,2711;0,3211;;
;;15,4;;;0,0017;9015
2561,6;2186,3;;0,2727;0,3228;;
;;15,4;;;0,0017;9005
2577;2202;;0,2744;0,3245;;
;;15,4;;;0,0017;9056
2592,4;2217,7;;0,2761;0,3262;;
;;15,4;;;0,0017;9117
2607,8;2233,4;;0,2777;0,3279;;
;;15,4;;;0,0017;9180
2623,2;2249,1;;0,2793;0,3296;;
;;15,4;;;0,0017;9261
2638,6;2264,8;;0,281;0,3312;;
;;15,4;;;0,0016;9391
2654;2280,5;;0,2826;0,3329;;
;;15,3;;;0,0016;9535
2669,3;2296,2;;0,2841;0,3345;;
;;15,3;;;0,0016;9651
2684,6;2311,9;;0,2857;0,3361;;
;;15,3;;;0,0016;9769
2699,9;2327,6;;0,2872;0,3376;;
;;15,3;;;0,0015;9930
2715,2;2343,3;;0,2887;0,3392;;
;;15,3;;;0,0015;10113
2730,5;2359;;0,2901;0,3407;;
;;15,2;;;0,0015;10279
2745,7;2374,7;;0,2916;0,3422;;
;;15,2;;;0,0015;10436
2760,9;2390,4;;0,293;0,3436;;
;;15,2;;;0,0014;10559
2776,1;2406,1;;0,2944;0,3451;;
;;15,2;;;0,0014;10536
2791,3;2421,8;;0,2958;0,3465;;
;;15,2;;;0,0015;10338
2806,5;2437,5;;0,2972;0,348;;
;;15,2;;;0,0015;10001
2821,7;2453,2;;0,2987;0,3495;;
;;15,1;;;0,0016;9622
2836,8;2468,9;;0,3003;0,3511;;
;;15,1;;;0,0016;9318
2851,9;2484,6;;0,3019;0,3527;;
;;15,1;;;0,0016;9172
2867;2500,4;;0,3035;0,3543;;
;;15,1;;;0,0016;9197
2882,1;2516,1;;0,3051;0,356;;
;;15,1;;;0,0016;9343
2897,2;2531,8;;0,3067;0,3576;;
;;15,1;;;0,0016;9520
2912,3;2547,4;;0,3082;0,3592;;
;;15;;;0,0016;9662
2927,3;2563,1;;0,3097;0,3607;;
;;15;;;0,0015;9779
2942,3;2578,9;;0,3112;0,3623;;
;;15;;;0,0015;9893
2957,3;2594,6;;0,3127;0,3638;;
;;15;;;0,0015;9954
2972,3;2610,3;;0,3142;0,3653;;
;;15;;;0,0015;9953
2987,2;2626;;0,3157;0,3668;;
;;15;;;0,0015;9949
3002,2;2641,7;;0,3172;0,3683;;
;;14,9;;;0,0015;9988
3017,1;2657,4;;0,3186;0,3698;;
;;14,9;;;0,0015;10095
3032,1;2673,1;;0,3201;0,3713;;
