DEPTH,ACOUSTIC_INTERVAL_VEL,DELTA_DEPTH
853.10472,3151.0224000000003,4.63296
857.7376800000001,3048.3048000000003,4.63296
862.3554,2932.7856,4.60248
866.9578800000002,2840.1264,4.60248
871.56036,2795.6256000000003,4.60248
876.1628400000001,2803.2456,4.60248
880.76532,2847.7464,4.60248
885.3678,2901.6960000000004,4.60248
889.95504,2944.9776,4.572
894.52704,2980.6392,4.572
899.0990400000001,3015.3864000000003,4.572
903.6710400000001,3033.9792,4.572
908.2278,3033.6744000000003,4.572
912.7845599999999,3032.4552000000003,4.572
917.3413199999999,3044.3424,4.54152
921.89808,3076.956,4.54152
926.4548400000001,3113.8368,4.54152
930.99636,3134.2584,4.54152
935.55312,3117.4944,4.54152
940.1098800000002,3066.5928000000004,4.54152
944.6514000000001,3001.6704,4.54152
949.19292,2955.036,4.54152
